Convalesce  v. (-cing) recover health after illness. [latin valeo be well]
Contact print  photographic print made by placing a negative directly on to printing paper and exposing it to light.
Mick  n. Slang offens. Irishman. [pet form of michael]
Concerning  prep. About, regarding.
Portent  n. 1 omen, significant sign of something to come. 2 prodigy; marvellous thing. [latin portentum: related to *portend]
Magnesia  n. 1 magnesium oxide. 2 hydrated magnesium carbonate, used as an antacid and laxative. [magnesia in asia minor]
Saltpetre  n. (us saltpeter) white crystalline salty substance used in preserving meat and in gunpowder. [latin sal petrae, = salt of rock]
Keelson  n. (also kelson) line of timber fastening a ship's floor-timbers to its keel. [origin uncertain]
Chiefly  adv. Above all; mainly but not exclusively.
Bungle  -v. (-ling) 1 mismanage or fail at (a task). 2 work badly or clumsily. -n. Bungled attempt or work. [imitative]
Gale  n. 1 very strong wind or storm. 2 outburst, esp. Of laughter. [origin unknown]
Desecrate  v. (-ting) violate (a sacred place etc.) With violence, profanity, etc.  desecration n. Desecrator n. [from *de-, *consecrate]
Ear-trumpet  n. Trumpet-shaped device formerly used as a hearing-aid.
Macro-  comb. Form 1 long. 2 large, large-scale. [greek makros long]
Peevish  adj. Irritable.  peevishly adv. [origin unknown]
Brutal  adj. 1 savagely cruel. 2 harsh, merciless.  brutality n. (pl. -ies). Brutally adv. [french: related to *brute]
Daguerreotype  n. Early photograph using a silvered plate and mercury vapour. [daguerre, name of its inventor]
Scandalize  v. (also -ise) (-zing or -sing) offend morally; shock.
Gravity  n. 1 a force that attracts a body to the centre of the earth etc. B degree of intensity of this. C gravitational force. 2 property of having weight. 3 a importance, seriousness. B solemnity. [latin: related to *grave2]
Presage  -n. 1 omen, portent. 2 presentiment, foreboding. -v. (-ging) 1 portend, foreshadow. 2 give warning of (an event etc.) By natural means. 3 (of a person) predict or have a presentiment of. [latin praesagium]
Good faith  n. Sincerity of intention.
Geocentric  adj. 1 considered as viewed from the earth's centre. 2 having the earth as the centre.  geocentrically adv.
Chronometer  n. Time-measuring instrument, esp. One used in navigation. [from *chronology, *-meter]
Surgery  n. (pl. -ies) 1 treatment of bodily injuries or disorders by incision or manipulation etc. As opposed to drugs. 2  place where or time when a doctor, dentist, etc., treats patients, or an mp, lawyer, etc., gives advice. [latin chirurgia, from greek kheir hand, ergo work]
Peace-offering  n. Propitiatory or conciliatory gift.
Copy  -n. (pl. -ies) 1 thing made to imitate another. 2 single specimen of a publication or issue. 3 material to be printed, esp. Regarded as good etc. Reading matter (the crisis will make exciting copy). -v. (-ies, -ied) 1 make a copy of. 2 imitate, do the same as. [latin copia transcript]
Dietitian  n. (also dietician) expert in dietetics.
-mania  comb. Form 1 denoting a special type of mental disorder (megalomania). 2 denoting enthusiasm or admiration (beatlemania).
Serous  adj. 1 of or like serum; watery. 2 (of a gland or membrane) having a serous secretion.  serosity n. [related to *serum]
Pinprick  n. Trifling irritation.
Educate  v. (-ting) 1 give intellectual, moral, and social instruction to. 2 provide education for.  educable adj. Educability n. Educative adj. Educator n. [latin educo -are rear]
Service area  n. Area beside a major road providing petrol, refreshments, toilet facilities, etc.
Compress  -v. 1 squeeze together. 2 bring into a smaller space or shorter time. -n. Pad of lint etc. Pressed on to part of the body to relieve inflammation, stop bleeding, etc.  compressible adj. [latin: related to *press1]
Gay  -adj. 1 light-hearted, cheerful. 2 brightly coloured. 3 colloq. Homosexual. 4 colloq. Careless, thoughtless (gay abandon). -n. Colloq. (esp. Male) homosexual.  gayness n. [french]
Discontinue  v. (-ues, -ued, -uing) 1 come or bring to an end (a discontinued line). 2 give up, cease from (doing something).  discontinuance n.
Hessian  n. Strong coarse sacking made of hemp or jute. [hesse in germany]
Fruit cocktail  n. Diced fruit salad.
Prosaic  adj. 1 like prose, lacking poetic beauty. 2 unromantic; dull; commonplace.  prosaically adv. [latin: related to *prose]
Charger  n. 1 cavalry horse. 2 apparatus for charging a battery.
Air-brick  n. Perforated brick used for ventilation.
Scarlet  -adj. Of brilliant red tinged with orange. -n. 1 scarlet colour or pigment. 2 scarlet clothes or material (dressed in scarlet). [french escarlate]
Burnt ochre  n. (also burnt sienna or umber) pigment darkened by burning.
Pogrom  n. Organized massacre (orig. Of jews in russia). [russian]
Shamble  -v. (-ling) walk or run awkwardly, dragging the feet. -n. Shambling gait. [perhaps related to *shambles]
Cashier2  v. Dismiss from service, esp. With disgrace. [french: related to *quash]
Double-park  v. (also absol.) Park (a vehicle) alongside one already parked at the roadside.
Commissioner for oaths  n. Solicitor authorized to administer an oath in an affidavit etc.
Pewit  var. Of *peewit.
Supreme court  n. Highest judicial court in a state etc.
Gibbous  adj. 1 convex. 2 (of a moon or planet) having the bright part greater than a semicircle and less than a circle. 3 humpbacked. [latin gibbus hump]
Flicker  -v. 1 (of light or flame) shine or burn unsteadily. 2 flutter. 3 (of hope etc.) Waver. -n. 1 flickering movement or light. 2 brief spell (of hope etc.).  flicker out die away. [old english]
Shaker  n. 1 person or thing that shakes. 2 container for shaking together the ingredients of cocktails etc.
Appellant  n. Person who appeals to a higher court. [latin appello address]
Causative  adj. Acting as or expressing a cause.
Lectern  n. 1 stand for holding a book in a church etc. 2 similar stand for a lecturer etc. [latin lectrum from lego read]
Catalytic  adj. Of or involving catalysis.
Indian corn  n. Maize.
Hectic  adj. 1 busy and confused; excited. 2 feverish.  hectically adv. [greek hektikos habitual]
Rebut  v. (-tt-) 1 refute or disprove (evidence or a charge). 2 force or turn back; check.  rebuttal n. [anglo-french rebuter: related to *butt1]
Deed  n. 1 thing done intentionally or consciously. 2 brave, skilful, or conspicuous act. 3 action (kind in word and deed). 4 legal document used esp. For transferring ownership of property. [old english: related to *do1]
Sea room  n. Space at sea for a ship to turn etc.
Anklet  n. Ornament or fetter worn round the ankle.
Enshrine  v. (-ning) 1 enclose in a shrine. 2 protect, make inviolable.  enshrinement n.
Blank cheque  n. 1 cheque left for the payee to fill in. 2 colloq. Unlimited freedom of action.
Reminiscence  n. 1 remembering things past. 2 (in pl.) Collection in literary form of incidents and experiences remembered. [latin reminiscor remember]
-ed1  suffix forming adjectives: 1 from nouns, meaning ‘having, wearing, etc.’ (talented; trousered). 2 from phrases of adjective and noun (good-humoured). [old english]
Refresher course  n. Course reviewing or updating previous studies.
Silver jubilee  n. 25th anniversary.
Self-made  adj. Successful or rich by one's own effort.
Short-term  adj. Of or for a short period of time.
Maize  n. 1 cereal plant of n. America. 2 cobs or grain of this. [french or spanish]
Disintegrate  v. (-ting) 1 separate into component parts or fragments, break up. 2 colloq. Break down, esp. Mentally. 3 (of an atomic nucleus) emit particles or divide into smaller nuclei.  disintegration n.
Tendentious  adj. Derog. Calculated to promote a particular cause or viewpoint; biased; controversial.  tendentiously adv. Tendentiousness n.
Crumbly  adj. (-ier, -iest) consisting of, or apt to fall into, crumbs or fragments.  crumbliness n.
Allot  v. (-tt-) apportion or distribute to (a person), esp. As a share or task (they were allotted equal sums). [french a to, *lot]
Apache  n. Member of a n. American indian tribe. [mexican spanish]
Cater  v. 1 supply food. 2 (foll. By for) provide what is needed or desired (caters for all tastes). 3 (foll. By to) pander to (esp. Low tastes). [anglo-french acatour buyer, from latin capto: related to *catch]
Drunk  -adj. 1 lacking control from drinking alcohol. 2 (often foll. By with) overcome with joy, success, power, etc. -n. Person who is drunk, esp. Habitually. [past part. Of *drink]
Rap2  n. Small amount, the least bit (don't care a rap). [irish ropaire counterfeit coin]
Seer  n. 1 person who sees. 2 prophet; visionary.
Precisely  adv. 1 in a precise manner; exactly. 2 (as a reply) quite so, as you say.
Bookie  n. Colloq. = *bookmaker. [abbreviation]
Agree  v. (-ees, -eed, -eeing) 1 hold the same opinion (i agree with you). 2 consent (agreed to go). 3 (often foll. By with) a become or be in harmony. B suit (fish didn't agree with him). C gram. Have the same number, gender, case, or person as. 4 reach agreement about (agreed a price). 5 (foll. By on) decide mutually on (agreed on a compromise).  be agreed be of one opinion. [latin: related to *ad-, gratus pleasing]
Dunlin  n. Red-backed sandpiper. [probably from *dun]
Continental breakfast  n. Light breakfast of coffee, rolls, etc.
Mediaeval  var. Of *medieval.
Ability  n. (pl. -ies) 1 (often foll. By to + infin.) Capacity or power. 2 cleverness, talent. [french: related to *able]
Mail order  n. Purchase of goods by post.
Manqué  adj. (placed after noun) that might have been but is not (an actor manqué). [french]
Skew-whiff  adj. & adv. Colloq. Askew.
Marketeer  n. 1 supporter of the ec and british membership of it. 2 marketer.
Square measure  n. Measure expressed in square units.
Gill1  n. (usu. In pl.) 1 respiratory organ in a fish etc. 2 vertical radial plate on the underside of a mushroom etc. 3 flesh below a person's jaws and ears. [old norse]
Op  n. Colloq. Operation. [abbreviation]
Length  n. 1 measurement or extent from end to end. 2 extent in or of time. 3 distance a thing extends. 4 length of a horse, boat, etc., as a measure of the lead in a race. 5 long stretch or extent. 6 degree of thoroughness in action (went to great lengths). 7 piece of a certain length (length of cloth). 8 prosody quantity of a vowel or syllable. 9 cricket a distance from the batsman at which the ball pitches. B proper amount of this. 10 length of a swimming-pool as a measure of distance swum. at length 1 in detail. 2 after a long time. [old english: related to *long1]
Hypothyroidism  n. Subnormal activity of the thyroid gland, resulting in cretinism.  hypothyroid n. & adj.
Mouse  -n. (pl. Mice) 1 small rodent, esp. Of a kind infesting houses. 2 timid or feeble person. 3 (pl. -s) computing small hand-held device controlling the cursor on a vdu screen. -v. (-sing) (of a cat, owl, etc.) Hunt mice.  mouser n. [old english]
Lifelong  adj. Lasting a lifetime.
Probation  n. 1 law system of supervising and monitoring the behaviour of (esp. Young) offenders, as an alternative to prison. 2 period of testing the character or abilities of esp. A new employee.  on probation undergoing probation.  probationary adj. [latin: related to *prove]
Hexadecimal  adj. Esp. Computing of a system of numerical notation that has 16 (the figures 0 to 9 and the letters a to f) rather than 10 as a base.
Tablespoon  n. 1 large spoon for serving food. 2 amount held by this.  tablespoonful n. (pl. -s).
Empathize  v. (also -ise) (-zing or -sing) (usu. Foll. By with) exercise empathy.
Odor  n. (brit. Odour) 1 smell or fragrance. 2 quality or trace (an odour of intolerance). 3 regard, repute (in bad odour).  odorous adj. Odourless adj. [latin odor]
Fry2  n.pl. Young or newly hatched fishes. [old norse, = seed]
Calix  var. Of *calyx.
Conjugation  n. Gram. System of verbal inflection.
District nurse  n. Nurse who makes home visits in an area.
Mosquito-net  n. Net to keep off mosquitoes.
Statistical  adj. Of statistics.  statistically adv.
Escape clause  n. Law clause specifying conditions under which a contracting party is free from an obligation.
Bore2  -n. Tiresome or dull person or thing. -v. (-ring) weary by tedious talk or dullness.  bored adj. Boring adj. [origin unknown]
Acronym  n. Word formed from the initial letters of other words (e.g. Laser, nato). [greek akron end, onoma name]
Comeuppance  n. Colloq. Deserved punishment. [come up, *-ance]
Curlew  n. Wading bird, usu. With a long slender bill. [french]
Headrest  n. Support for the head, esp. On a seat.
Gild2  var. Of *guild.
Piecrust  n. Baked pastry crust of a pie.
Adulterate  v. (-ting) debase (esp. Foods) by adding other substances.  adulterant adj. & n. Adulteration n. [latin adultero corrupt]
Intercourse  n. 1 communication or dealings between individuals, nations, etc. 2 = *sexual intercourse. [latin: related to *course]
Aspire  v. (-ring) (usu. Foll. By to or after, or to + infin.) Have ambition or a strong desire. [latin aspiro breathe upon]
Postmaster  n. (fem. Postmistress) official in charge of a post office.
Superimpose  v. (-sing) (usu. Foll. By on) lay (a thing) on something else.  superimposition n.
Countenance  -n. 1 the face or facial expression. 2 composure. 3 moral support. -v. (-cing) support, approve. [french: related to *contain]
Polypropylene  n. Any polymer of propylene, including thermoplastic materials used for films, fibres, or moulding materials.
Teletext  n. Computerized news and information service transmitted to the televisions of subscribers.
Nemesis  n. (pl. Nemeses) 1 retributive justice. 2 downfall caused by this. [greek, = retribution]
Accomplish  v. Succeed in doing; achieve, complete. [latin: related to *complete]
Paederast  var. Of *pederast.
Fogey  var. Of *fogy.
Point of no return  n. Point in a journey or enterprise at which it becomes essential or more practical to continue to the end.
Lariat  n. 1 lasso. 2 tethering-rope. [spanish la reata]
Drill2  -n. 1 machine for making furrows, sowing, and covering seed. 2 small furrow. 3 row of seeds sown by a drill. -v. Plant in drills. [origin unknown]
Plumb  -n. Lead ball, esp. Attached to the end of a line for finding the depth of water or testing whether a wall etc. Is vertical. -adv. 1 exactly (plumb in the centre). 2 vertically. 3 us slang quite, utterly (plumb crazy). -adj. Vertical. -v. 1 a provide with plumbing. B (often foll. By in) fit as part of a plumbing system. C work as a plumber. 2 sound or test with a plumb. 3 reach or experience (an extreme feeling) (plumb the depths of fear).
Kyle  n. (in scotland) narrow channel, strait. [gaelic caol strait]
Laud  -v. Praise or extol. -n. 1 praise; hymn of praise. 2 (in pl.) The first morning prayer of the roman catholic church. [latin laus laud-]
Car phone  n. Radio-telephone for use in a car etc.
Ring-dove  n. Woodpigeon.
Editorial  -adj. 1 of editing or editors. 2 written or approved by an editor. -n. Article giving a newspaper's views on a current topic.  editorially adv.
Eschew  v. Formal avoid; abstain from.  eschewal n. [germanic: related to *shy1]
Publisher  n. Person or (esp.) Company that publishes books etc. For sale.
Revolution  n. 1 forcible overthrow of a government or social order. 2 any fundamental change or reversal of conditions. 3 revolving. 4 a single completion of an orbit or rotation. B time taken for this. 5 cyclic recurrence. [latin: related to *revolve]
Preface  -n. 1 introduction to a book stating its subject, scope, etc. 2 preliminary part of a speech. -v. (-cing) 1 (foll. By with) introduce or begin (a speech or event). 2 provide (a book etc.) With a preface. 3 (of an event etc.) Lead up to (another).  prefatory adj. [latin praefatio]
Œuvre  n. Works of a creative artist regarded collectively. [french, = work, from latin opera]
Puffball  n. Ball-shaped fungus emitting clouds of spores.
Lifebelt  n. Buoyant belt for keeping a person afloat.
Decorous  adj. Having or showing decorum.  decorously adv. Decorousness n. [latin decorus seemly]
Sateen  n. Glossy cotton fabric like satin. [satin after velveteen]
Psychosis  n. (pl. -choses) severe mental disorder with loss of contact with reality. [greek: related to *psyche]
In.  Abbr. Inch(es).
Metre-kilogram-second  n. Denoting a system of measure using the metre, kilogram, and second.
Exchequer  n. 1 former government department in charge of national revenue. 2 royal or national treasury. 3 money of a private individual or group. [medieval latin scaccarium chessboard]
Chambermaid  n. Woman who cleans hotel bedrooms.
Saliva  n. Colourless liquid secreted into the mouth by glands.  salivary adj. [latin]
Spec1  n. Colloq. Speculation.  on spec as a gamble. [abbreviation]
Swing-wing  n. Aircraft wing that can move from a right-angled to a swept-back position.
Aggrandize  v. (also -ise) (-zing or -sing) 1 increase the power, rank or wealth of. 2 make seem greater.  aggrandizement n. [french: related to *grand]
Espouse  v. (-sing) 1 adopt or support (a cause, doctrine, etc.). 2 archaic a (usu. Of a man) marry. B (usu. Foll. By to) give (a woman) in marriage. [latin spondeo betroth]
Raid  -n. 1 rapid surprise attack, esp.: a in warfare. B in order to commit a crime, steal, or do harm. 2 surprise attack by police etc. To arrest suspected persons or seize illicit goods. -v. Make a raid on.  raider n. [scots form of *road]
Hellenistic  adj. Of greek history, language, and culture of the late 4th to the late 1st c. Bc.
Crescendo  -n. (pl. -s) 1 mus. Gradual increase in loudness. 2 progress towards a climax. -adv. & adj. Increasing in loudness. [italian: related to *crescent]
Industrialist  n. Owner or manager in industry.
Hydraulics  n.pl. (usu. Treated as sing.) Science of the conveyance of liquids through pipes etc., esp. As motive power.
Davenport  n. 1 small writing-desk with a sloping top. 2 us large sofa. [name of the maker]
Icon  n. (also ikon) 1 painting of christ etc., esp. In the eastern church. 2 image or statue. 3 symbol on a vdu screen of a program, option, or window, esp. For selection.  iconic adj. [greek eikon image]
Gmt  abbr. Greenwich mean time.
Luminescence  n. Emission of light without heat.  luminescent adj.
Forgiveness  n. Forgiving or being forgiven.
Remembrance sunday  n. Sunday nearest 11 nov., when those killed in the wars of 1914–18 and 1939–45 and later conflicts are commemorated.
Painstaking  adj. Careful, industrious, thorough.  painstakingly adv.
Interstitial  adj. Of, forming, or occupying interstices.  interstitially adv.
Found1  past and past part. Of *find.
Insignia  n. (treated as sing. Or pl.) Badge. [latin signum sign]
Osprey  n. (pl. -s) large bird of prey feeding on fish. [latin ossifraga from os bone, frango break]
Apogee  n. 1 highest point; climax. 2 point in a celestial body's orbit where it is furthest from the earth. [greek apogeion]
Operator  n. 1 person operating a machine etc., esp. Connecting lines in a telephone exchange. 2 person engaging in business. 3 colloq. Person acting in a specified way (smooth operator). 4 symbol or function denoting an operation in mathematics, computing, etc.
Pounder  n. (usu. In comb.) 1 thing or person weighing a specified number of pounds (a five-pounder). 2 gun firing a shell of a specified number of pounds.
Boneshaker  n. Decrepit or uncomfortable old vehicle.
Inheritance tax  n. Tax levied on property acquired by gift or inheritance.
Respray  -v. Spray again (esp. A vehicle with paint). -n. Act of respraying.
Abstention  n. Abstaining, esp. From voting. [latin: related to *abstain]
Aggravate  v. (-ting) 1 make worse or more serious. 2 annoy.  aggravation n. [latin gravis heavy]
Celebrant  n. Person who performs a rite, esp. The priest at the eucharist.
Butcher  -n. 1 a person who deals in meat. B slaughterer. 2 brutal murderer. -v. 1 slaughter or cut up (an animal) for food. 2 kill wantonly or cruelly. 3 colloq. Ruin through incompetence. [french boc *buck1]
Ignorant  adj. 1 (often foll. By of, in) lacking knowledge (esp. Of a fact or subject). 2 colloq. Uncouth.  ignorantly adv.
Hairnet  n. Piece of netting for confining the hair.
Cheese-paring  adj. Stingy.
Pointillism  n. Technique of impressionist painting using tiny dots of pure colour which become blended in the viewer's eye.  pointillist n. & adj. [french pointiller mark with dots]
Archbishop  n. Chief bishop of a province.
Resemble  v. (-ling) be like; have a similarity to, or the same appearance as. [french sembler seem]
Nova  n. (pl. Novae or -s) star showing a sudden burst of brightness and then subsiding. [latin, = new]
Party-wall  n. Wall common to adjoining buildings or rooms.
Frisian  -adj. Of friesland. -n. Native or language of friesland. [latin frisii (n. Pl.) From old frisian frisa]
Glassware  n. Articles made of glass.
Sweetcorn  n. Sweet-flavoured maize kernels.
Informed  adj. 1 knowing the facts. 2 having some knowledge.
Denim  n. 1 (often attrib.) Hard-wearing usu. Blue cotton twill used for jeans, overalls, etc. 2 (in pl.) Colloq. Jeans etc. Made of this. [french de of, nîmes in france]
Ferret  -n. Small polecat used in catching rabbits, rats, etc. -v. 1 hunt with ferrets. 2 (often foll. By out, about, etc.) Rummage; search out (secrets, criminals, etc.). [latin fur thief]
Format  -n. 1 shape and size (of a book, etc.). 2 style or manner of procedure etc. 3 computing arrangement of data etc. -v. (-tt-) 1 arrange or put into a format. 2 computing prepare (a storage medium) to receive data. [latin formatus shaped: related to *form]
Containment  n. Action or policy of preventing the expansion of a hostile country or influence.
Exhort  v. (often foll. By to + infin.) Urge strongly or earnestly.  exhortation n. Exhortative adj. Exhortatory adj. [latin exhortor encourage]
Inquietude  n. Uneasiness. [latin: related to *quiet]
Cat's-eye  n. Precious stone.
Slay  v. (past slew; past part. Slain) 1 literary = *kill 1. 2 = *kill 4. slayer n. [old english]
Press1  -v. 1 apply steady force to (a thing in contact). 2 a compress or squeeze a thing to flatten, shape, or smooth it. B squeeze (a fruit etc.) To extract its juice. 3 (foll. By out of, from, etc.) Squeeze (juice etc.). 4 embrace or caress by squeezing (pressed my hand). 5 (foll. By on, against, etc.) Exert pressure. 6 be urgent; demand immediate action. 7 (foll. By for) make an insistent demand. 8 (foll. By up, round, etc.) Crowd. 9 (foll. By on, forward, etc.) Hasten insistently. 10 (often in passive) (of an enemy etc.) Bear heavily on. 11 (often foll. By for, or to + infin.) Urge or entreat (pressed me to stay; pressed me for an answer). 12 (foll. By on, upon) a urge (an opinion, claim, or course of action). B force (an offer, a gift, etc.). 13 insist on (did not press the point). 14 manufacture (a gramophone record, car part, etc.) By using pressure to shape and extract from a sheet of material. -n. 1 act of pressing (give it a press). 2 device for compressing, flattening, shaping, extracting juice, etc. 3 = *printing-press. 4 (prec. By the) a art or practice of printing. B newspapers etc. Generally or collectively. 5 notice or publicity in newspapers etc. (got a good press). 6 (press) printing or publishing company. 7 a crowding. B crowd (of people etc.). 8 the pressure of affairs. 9 esp. Ir. & scot. Large usu. Shelved cupboard.  be pressed for have barely enough (time etc.). Go (or send) to press go or send to be printed. [latin premo press-]
Observant  adj. 1 acute in taking notice. 2 attentive in observance.  observantly adv.
Aob  abbr. Any other business.
Republican  -adj. 1 of or constituted as a republic. 2 characteristic of a republic. 3 advocating or supporting republican government. -n. 1 person advocating or supporting republican government. 2 (republican) a us supporter of the republican party. B ir. Supporter of the ira or sinn féin.  republicanism n.
Felt2  past and past part. Of *feel.
H2  abbr. (also h.) 1 (of a pencil-lead) hard. 2 (water) hydrant. 3 slang heroin. 4 henry(s).
Companionship  n. Friendship; being together.
Fabricate  v. (-ting) 1 construct, esp. From components. 2 invent (a story etc.). 3 forge (a document).  fabrication n. Fabricator n. [latin: related to *fabric]
Ninety  adj. & n. (pl. -ies) 1 product of nine and ten. 2 symbol for this (90, xc, xc). 3 (in pl.) Numbers from 90 to 99, esp. The years of a century or of a person's life.  ninetieth adj. & n. [old english]
Emancipate  v. (-ting) 1 free from social or political restraint. 2 (usu. As emancipated adj.) Free from the inhibitions of moral or social conventions. 3 free from slavery.  emancipation n. Emancipatory adj. [latin, = free from possession, from manus hand, capio take]
Grieve  v. (-ving) 1 cause grief to. 2 suffer grief. [latin: related to *grave2]
Accession  -n. 1 taking office, esp. As monarch. 2 thing added. -v. Record the addition of (a new item) to a library etc.
Scot-free  adv. Unharmed, unpunished. [obsolete scot tax]
Authenticate  v. (-ting) establish as true, genuine, or valid.  authentication n.
Lloyd's list  n. Daily publication devoted to shipping news.
All-right  attrib. Adj. Colloq. Acceptable (an all-right guy).
Congratulation  n. 1 congratulating. 2 (usu. In pl.) Expression of this.
Gaily  adv. In a gay or careless manner (gaily decorated; gaily announced their departure).
Milky  adj. (-ier, -iest) 1 of, like, or mixed with milk. 2 (of a gem or liquid) cloudy; not clear.  milkiness n.
St leger  n. Horse-race at doncaster for three-year-olds. [from the name of the founder]
Mother carey's chicken  n. = *storm petrel 1.
Digit  n. 1 any numeral from 0 to 9. 2 finger or toe. [latin, = finger, toe]
Body shop  n. Workshop where bodywork is repaired.
Flummox  v. Colloq. Bewilder, disconcert. [origin unknown]
Backgammon  n. Board-game with pieces moved according to throws of the dice. [from *back + obsolete form of *game1]
Bomb-site  n. Area where bombs have caused destruction.
Fair isle  n. (also attrib.) Multicoloured knitwear design characteristic of fair isle. [fair isle in the shetlands]
Talent  n. 1 special aptitude or faculty (talent for music). 2 high mental ability. 3 a person or persons of talent. B colloq. Attractive members of the opposite sex (plenty of local talent). 4 ancient esp. Greek weight and unit of currency.  talented adj. [greek talanton]
Lead-poisoning  n. Poisoning by absorption of lead into the body.
Bottom drawer  n. Linen etc. Stored by a woman for marriage.
Complementary medicine  n. Alternative medicine.
Precipitate  -v. (-ting) 1 hasten the occurrence of; cause to occur prematurely. 2 (foll. By into) send rapidly into a certain state or condition (was precipitated into war). 3 throw down headlong. 4 chem. Cause (a substance) to be deposited in solid form from a solution. 5 physics condense (vapour) into drops and so deposit it. -adj. 1 headlong; violently hurried (precipitate departure).
Goodwill  n. 1 kindly feeling. 2 established reputation of a business etc. As enhancing its value. 3 willingness to undertake unpaid duties.
Grand mal  n. Serious form of epilepsy with loss of consciousness. [french, = great sickness]
Railcar  n. Single powered railway coach.
Misty  adj. (-ier, -iest) 1 of or covered with mist. 2 dim in outline. 3 obscure, vague (misty idea).  mistily adv. Mistiness n. [old english: related to *mist]
Rh  symb. Rhodium.
Hooked  adj. 1 hook-shaped. 2 (often foll. By on) slang addicted or captivated.
Hand in glove  adj. In collusion or association.
Recce  colloq. -n. Reconnaissance. -v. (recced, recceing) reconnoitre. [abbreviation]
Ignite  v. (-ting) 1 set fire to. 2 catch fire. 3 provoke or excite (feelings etc.). [latin ignio ignit- set on fire]
Jumped-up  adj. Colloq. Upstart.
Catapult  -n. 1 forked stick etc. With elastic for shooting stones. 2 mil hist. Machine for hurling large stones etc. 3 device for launching a glider etc. -v. 1 a hurl from or launch with a catapult. B fling forcibly. 2 leap or be hurled forcibly. [latin from greek]
Merger  n. Combining, esp. Of two commercial companies etc. Into one.
Platypus  n. (pl. -puses) australian aquatic egg-laying mammal, with a ducklike bill and flat tail. [greek, = flat foot]
Inquisition  n. 1 intensive search or investigation. 2 judicial or official inquiry. 3 (the inquisition) rc ch. Hist. Ecclesiastical tribunal for the violent suppression of heresy, esp. In spain.  inquisitional adj. [latin: related to *inquire]
Integrity  n. 1 moral excellence; honesty. 2 wholeness; soundness. [latin: related to *integer]
Rectal  adj. Of or by means of the rectum.
Subtotal  n. Total of one part of a group of figures to be added.
Straightaway  adv. = straight away.
License2  v. (-sing) 1 grant a licence to. 2 authorize the use of (premises) for a certain purpose.
Menstruation  n. Process of discharging blood etc. From the uterus, usu. At monthly intervals from puberty to menopause.
Hara-kiri  n. Ritual suicide by disembowelment with a sword, formerly practised by samurai to avoid dishonour. [japanese hara belly, kiri cutting]
Batty  adj. (-ier, -iest) slang crazy. [from *bat2]
Aphelion  n. (pl. -lia) point in a celestial body's orbit where it is furthest from the sun. [greek aph'heliou from the sun]
Parasite  n. 1 organism living in or on another and feeding on it. 2 person exploiting another or others.  parasitic adj. Parasitically adv. Parasitism n. [greek: related to *para-1, sitos food]
Arm1  n. 1 upper limb of the human body from shoulder to hand. 2 forelimb or tentacle of an animal. 3 a sleeve of a garment. B arm support of a chair etc. C thing branching from a main stem (an arm of the sea). D control, means of reaching (arm of the law).  arm in arm with arms linked. At arm's length at a distance. With open arms cordially.  armful n. (pl. -s). [old english]
Attack  -v. 1 try to hurt or defeat using force. 2 criticize adversely. 3 act harmfully upon (rust attacks metal). 4 vigorously apply oneself to. 5 sport try to gain ground or score (against). -n. 1 act of attacking. 2 offensive operation. 3 sudden onset of an illness.  attacker n. [french from italian]
Minister  -n. 1 head of a government department. 2 clergyman, esp. In the presbyterian and nonconformist churches. 3 diplomat, usu. Ranking below an ambassador. -v. (usu. Foll. By to) help, serve, look after (a person, cause, etc.).  ministerial adj. [latin, = servant]
Summon  v. 1 order to come or appear, esp. In a lawcourt. 2 (usu. Foll. By to + infin.) Call upon (summoned her to assist). 3 call together. 4 (often foll. By up) gather (courage, spirits, resources, etc.). [latin summoneo]
Jul.  Abbr. July.
Carrion  n. 1 dead putrefying flesh. 2 something vile or filthy. [latin caro flesh]
Tarzan  n. Colloq. Agile muscular man. [name of a character in stories by e. R. Burroughs]
Sports ground  n. Piece of land used for sports.
Blame  -v. (-ming) 1 assign fault or responsibility to. 2 (foll. By on) fix responsibility for (an error etc.) On (blamed it on his brother). -n. 1 responsibility for an error etc. 2 blaming or attributing of responsibility (got all the blame).  be to blame be responsible; deserve censure.  blameable adj. Blameless adj. Blameworthy adj. [french: related to *blaspheme]
Downright  -adj. 1 plain, straightforward. 2 utter (downright nonsense). -adv. Thoroughly (downright rude).
Dixieland  n. 1 = *dixie. 2 traditional kind of jazz.
Carbon  n. 1 non-metallic element occurring naturally as diamond, graphite, and charcoal, and in all organic compounds. 2 a = *carbon copy. B = *carbon paper. 3 rod of carbon in an arc lamp. [latin carbo charcoal]
Quash  v. 1 annul; reject as invalid, esp. By a legal procedure. 2 suppress, crush. [french quasser from latin]
Grain  -n. 1 fruit or seed of a cereal. 2 (collect.) Wheat or any allied grass used as food; corn. 3 small hard particle of salt, sand, etc. 4 unit of weight, 0.0648 gram. 5 smallest possible quantity (not a grain of truth in it). 6 roughness of surface. 7 texture of skin, wood, stone, etc. 8 a pattern of lines of fibre in wood or paper. B lamination in stone etc. -v. 1 paint in imitation of the grain of wood etc. 2 give a granular surface to. 3 form into grains.  against the grain contrary to one's natural inclination or feeling.  grainy adj. (-ier, -iest). [latin granum]
Cremate  v. (-ting) burn (a corpse etc.) To ashes.  cremation n. [latin cremo burn]
Plenum  n. Full assembly of people or a committee etc. [latin, neuter of plenus full]
